ID,Label,Numero Caramelle Trovate,Falsi Positivi,Falsi Negativi,Totale,Totale Aspettato,Differenza,Differenza totale,Caramelle Aspettate_per_Label
IMG_0048,B,7,0,0,37,37,,0,7
IMG_0049,PS,1,0,0,37,37,,0,1
IMG_0049,G,9,0,0,37,37,,0,9
IMG_0049,O,7,0,0,37,37,,0,7
IMG_0049,OSV,1,0,0,37,37,,0,1
IMG_0049,P,6,0,0,37,37,,0,6
IMG_0049,GS,1,0,0,37,37,,0,1
IMG_0049,B,12,0,0,37,37,,0,12
IMG_0071,MC,5,0,0,36,36,,0,5
IMG_0071,G,9,0,0,36,36,,0,9
IMG_0071,O,7,0,0,36,36,,0,7
IMG_0071,P,9,0,0,36,36,,0,9
IMG_0071,B,6,0,0,36,36,,0,6
IMG_0073,PSV,1,0,0,36,36,,0,1
IMG_0073,G,7,0,0,36,36,,0,7
IMG_0073,O,10,0,0,36,36,,0,10
IMG_0073,P,7,0,0,36,36,,0,7
IMG_0073,GS,1,0,0,36,36,,0,1
IMG_0073,B,10,0,0,36,36,,0,10
IMG_0074,Ot,1,0,0,36,36,,0,1
IMG_0074,BStrip,1,0,0,36,36,,0,1
IMG_0074,PSV,1,0,0,36,36,,0,1
IMG_0074,G,9,0,0,36,36,,0,9
IMG_0074,O,9,0,0,36,36,,0,9
IMG_0074,P,9,0,0,36,36,,0,9
IMG_0074,B,6,0,0,36,36,,0,6
IMG_7695,MC,2,0,0,69,69,,0,2
IMG_7695,Gg,9,0,0,69,69,,0,9
IMG_7695,L,15,0,0,69,69,,0,15
IMG_7695,Og,4,0,0,69,69,,0,4
IMG_7695,Bg,10,0,0,69,69,,0,10
IMG_7695,G,3,0,0,69,69,,0,3
IMG_7695,Pg,6,0,0,69,69,,0,6
IMG_7695,Lt,10,0,0,69,69,,0,10
IMG_7695,MT,9,0,0,69,69,,0,9
IMG_7695,B,1,0,0,69,69,,0,1
ipad,R,7,0,0,50,50,,0,7
ipad,RS,2,0,0,50,50,,0,2
ipad,Bg,1,0,0,50,50,,0,1
ipad,PSV,2,0,0,50,50,,0,2
ipad,G,13,0,0,50,50,,0,13
ipad,Bw,1,0,0,50,50,,0,1
ipad,O,9,0,0,50,50,,0,9
ipad,Ow,1,0,0,50,50,,0,1
ipad,P,6,0,0,50,50,,0,6
ipad,GW,1,0,0,50,50,,0,1
ipad,B,7,0,0,50,50,,0,7
ipad6,Gt,4,0,0,37,37,,0,4
ipad6,Ot,5,0,0,37,37,,0,5
ipad6,Pt,5,0,0,37,37,,0,5
ipad6,G,6,0,0,37,37,,0,6
ipad6,Bt,4,0,0,37,37,,0,4
ipad6,O,7,0,0,37,37,,0,7
ipad6,P,1,0,0,37,37,,0,1
ipad6,B,5,0,0,37,37,,0,5

Screenshot_20231107_204514_Candy Crush Saga,Gt,2,0,0,59,59,,0,2
Screenshot_20231107_204514_Candy Crush Saga,MC,2,0,0,59,59,,0,2
Screenshot_20231107_204514_Candy Crush Saga,Gg,5,0,0,59,59,,0,5
Screenshot_20231107_204514_Candy Crush Saga,BwC,1,0,0,59,59,,0,1
Screenshot_20231107_204514_Candy Crush Saga,Ot,2,0,0,59,59,,0,2
Screenshot_20231107_204514_Candy Crush Saga,Og,1,0,0,59,59,,0,1
Screenshot_20231107_204514_Candy Crush Saga,OwT,1,0,0,59,59,,0,1
Screenshot_20231107_204514_Candy Crush Saga,Pt,2,0,0,59,59,,0,2
Screenshot_20231107_204514_Candy Crush Saga,Bg,1,0,0,59,59,,0,1
Screenshot_20231107_204514_Candy Crush Saga,OC,1,0,0,59,59,,0,1
Screenshot_20231107_204514_Candy Crush Saga,PwT,1,0,0,59,59,,0,1
Screenshot_20231107_204514_Candy Crush Saga,G,1,0,0,59,59,,0,1
